,tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
0,"Чиновники займутся теми, кто не работает официально больше 10 лет.

https://t.co/wOeCsgIYdI https://t.co/jjwAQezB4N",@tutby Решение проблемы довольно простое:каждого безработного устроить в отдел по борьбе с безработицей при любом исполкоме.,"@tutby т.е. чиновниками, вояками и ментами с гебней. которые никогда ничего не делали из того, что присяга обязывала.",@tutby Расстреливать будут? Или в трудовые лагеря определять?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"В Минске неизвестные в масках ворвались на мероприятие студенческого профсоюза. 

Задержаны более 10-ти человек.… https://t.co/42yIsuR3wZ",@tutby Не неизвестные а известные мрази 🤔,"@tutby подачка от российского барина, сама себя не выплатит. вот и стараются сотруднички.","@tutby Тутбай, может проинформируете читателей о судьбе Мариничей в РБ! Интересен тот который живет в Литве... и пр… https://t.co/C3tAg3YzuO","@tutby На суде Иванов Иван Иваныч в балаклаве будет клясться, что они кричали лозунги из окон и размахивали флагами… https://t.co/IzLHoa09dD","@tutby Ой, ой, ой.... опять также сказка для тутбая! И сколько это может продолжаться??? Я всем читающим эту информ… https://t.co/HH3jF2sPR6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Послушайте, как люди в магазине в Боровлянах поют «Погоню». https://t.co/Tn3sAJHh8G",@tutby Напомнили песню вихри враждебные веют над нами.😂😂,@tutby Красавцы,@tutby Их песня спета),"@tutby ото не люди, это блудны змагарский хор",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Что сейчас известно о покупке ИТ-компании Exadel с офисом в Минске?

Рассказываем. https://t.co/NnUi0O99IQ https://t.co/YLUcmz7xLs","@tutby какая нибудь путинская закладка, очередная через офшорная.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ведущая ОНТ оговорилась в эфире и назвала Светлану Тихановскую бывшим президентом. https://t.co/ni5ETLpjLV,@tutby Для бывшей ведущей ОНТ избрана мера пресечения в виде заключения под стражу. По предъявленному обвинению в г… https://t.co/Szys26i64e,@tutby https://t.co/qki5tj5kGz,"@tutby Ну всё, расстреляют!",@tutby Перепутала Past Perfect с Past Simple :),"@tutby То есть, какой она президент? Действующий или будущий?",@tutby Бывшая,"@tutby тут бай не смотрит ОНт, президент котлета- смешно","@tutby Ключевое слово « Бывшая»!!!! Бывшая гражданка РБ! Бывшая жена, я сейчас девка для всех европейцев.....И это бесконечно...","@tutby Пришлось смотреть минский канал, ведущая в зелёном платье, отстой и прошлый век, говорила о президенте Белар… https://t.co/8DJ2cmiVuR",@tutby после съёмки она поедет в Жодино,@tutby Никогда Штирлиц Ещё не был так близок к провалу,@tutby Больше она там не работает,@tutby https://t.co/MwLafT7v4v,"@tutby Бывшим кандидатом в президенты! Оговорился человек, глядите не обоссытесь от счастья🤣",@tutby https://t.co/RruJ9qHIvC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Алла Пугачева обошла Анджелину Джоли в рейтинге настоящих женщин (по мнению россиян).

https://t.co/8Pj6VKwSwJ https://t.co/3ChKLmvYa5","@tutby То есть есть настоящие женщины, а ечть шоколадные что ли? Не понимаю....",@tutby А есть и не настоящие?,@tutby кто это?,@tutby Боже мой какой кругозор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Как пойдет транспорт в Минске в понедельник, 8 марта?

Рассказываем. https://t.co/Vt5eA9JCRB https://t.co/dkLBEM5bAg",@tutby А главное куда...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"МВД сообщило о задержании брестских анархисты «из международной преступной организации».

https://t.co/NMZmEt0CCV https://t.co/wIFBA0by60","@tutby МВД сообщило о задержании брестских анархисты «из международной преступной организации😂😂😂😂

Брестской анархиты","@tutby Брестских, кого?чего? родительный падеж---анархистов🤣🤣🤣🤣журнашлюхи вы от бога😁","@tutby ""О задержании брестских анархисты""? 
Пятница?","@tutby They can claim what they want, it does not mean it is true.

💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐","@tutby что характерно, фамилии, на кого объявили розыск 
 Александр Козлянко, Никита Дранец, Андрей Марач, Даниил Ч… https://t.co/JxNUAikkVM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Что сейчас происходит вокруг «Беларуськалия» и Yara?

Стачка — за разрыв договора, профсоюзы — против.… https://t.co/1WVsfvCdKe","@tutby Их кормить Чернявская с Золотовой будут?

Жиром если только из собственных боков",@tutby Хкячка уволят пару человек и все,@tutby Профсоюзы идут на хуй. Договариваться с кровавым диктатором хуйня собачья.,@tutby Кто такая Стачка?),"@tutby @__FahreN_ Тутки, срачка в ваших безмозглых головах. Вы дождётесь, что шахтёры сотрут в порошок упорышей без… https://t.co/V7UxxB0IO1","@tutby Кого кроме разжигателей и фейкомётов из тутбай, может интересовать эта ""срачка""? Которая, к тому же, в больш… https://t.co/BYvBAqOT2w","@tutby The problem with sanctions is that it also ends up hurting the general public.
The chain reaction is complic… https://t.co/KJV5eMU2Ub","@tutby А шахтеры знают, что их хотят лишить хорошей доли заработка?",@tutby в любом случае выиграют россияне.,"@tutby стачком хочет уволить шахтеров, и их еще не закопали в шахте?","@tutby Не чего не происходит, это вы так думаете что что-то там, Стачка это те упыри которые остались без работы и… https://t.co/VBkyHgTqP2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"В ЖК ""Каскад"" неизвестные люди в балаклавах снимают бело-красные ленты. https://t.co/vD8T42DO1p",@tutby Бчб-мусор убирают. Молодцы.,"@tutby Сходите им помешайте, мамкины рэволюционэры...","@tutby This was the job of the little 'green' men, what happened to them?
https://t.co/eAq5uzrkOB","@tutby Чистота залог здоровья, порядок прежде всего! https://t.co/UG3J9RQ1bU","@tutby Так это политическая символика.   Красный на белом фоне древний орнамент ""Восходящее солнце ""  на государств… https://t.co/IqRko9vMuA",@tutby молодцы,@tutby Навязывая бчб символику кукловоды получают взамен ненависть!,@tutby Дело Баскова-Шакуты процветает?,"@tutby Что не известные люди это правда, а вот что они снимают с кустов это вопрос, и откуда там взялся оператор, с… https://t.co/hK1G7bjhJy","@tutby Как люди может и неизвестные, но прославленные, как петухи","@tutby Ну вот, теперь у многих есть скурпулезное занятие до самой  смерти выродка","@tutby - Папка, а эта медаль за что?
- Лучшая Шестёрка по снятию лент.","@tutby Как же смешно смотреть на этот маразм, и грустно одновременно...",@tutby Цікавая ў іх праца))),@tutby нужно вледельцев найти и сделать то что мы сделали с БЧБшниками в 44-45гг,"@tutby учитывая текущие кадровые расклады, россиянами  белорусики рассматриваются как нелояльные, потому и командую… https://t.co/cjaeZGOpGG",@tutby Дегенераты с бадуна пришли делать красиво,"@tutby @mvd_by , мы знаем что это вы. Можете ходить не стесняясь. Прямо в форме))","@tutby Во делать им нехер, а!",@tutby Куски говна,"@tutby наша служба опасна и трудна, позорники сука",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
